ARTIST,SONG,FORM,LANGUAGE,YEAR,DECADE,VIEWS YOUTUBE,DATE,HOUR,GROUP HOUR,SHOW,NEWS SERVICE,STATION
Foo Fighters,Waiting on a War,Band,EN,2021,2020,7019864,12-7-2021,00:06,0,Playlist,0,Comercial
DJ Snake ft. Justin Bieber,Let Me Love You,Colab,EN,2016,2010,,12-7-2021,00:10,0,Playlist,0,Comercial
Syro,Acordar,Artist Male,PT,2020,2020,4083309,12-7-2021,00:13,0,Playlist,0,Comercial
Amy Winehouse,Rehab,Artist Female,EN,2006,2000,277741986,12-7-2021,00:17,0,Playlist,0,Comercial
Maroon 5,Memories,Band,EN,2019,2010,747211450,12-7-2021,00:20,0,Playlist,0,Comercial
Avicii ft. Aloe Blacc,Wake Me Up,Colab,EN,2013,2010,,12-7-2021,00:23,0,Playlist,0,Comercial
Virgul,High,Artist Male,PT,2020,2020,192991,12-7-2021,00:27,0,Playlist,0,Comercial
Lady Gaga ft. Bradley Cooper,Shallow,Colab,EN,2018,2010,1146053424,12-7-2021,00:32,0,Playlist,0,Comercial
Tom Grennan,Little Bit of Love,Artist Male,EN,2021,2020,15672000,12-7-2021,00:35,0,Playlist,0,Comercial
Lukas Graham,7 Years,Artist Male,EN,2015,2010,,12-7-2021,00:39,0,Playlist,0,Comercial
Toranja,Carta,Band,PT,2003,2000,1255189,12-7-2021,00:43,0,Playlist,0,Comercial
Beyonce,Halo,Artist Female,EN,2009,2000,,12-7-2021,00:48,0,Playlist,0,Comercial
Nuno Ribeiro ft. Nick Cruz,Nas Ondas do Mar,Colab,PT,2021,2020,,12-7-2021,00:52,0,Playlist,0,Comercial
Duncan Laurence ft. Fletcher,Arcade (remix),Colab,EN,2020,2020,,12-7-2021,00:55,0,Playlist,0,Comercial
Anne-Marie ft. Niall Horan,Our Song,Colab,EN,2021,2020,,12-7-2021,00:58,0,Playlist,0,Comercial
The Kid LAROI,Without You,Artist Male,EN,2020,2020,,12-7-2021,01:03,1,Playlist,0,Comercial
Mr. Probz ft. Robin Schulz,Waves,Colab,EN,2013,2010,,12-7-2021,01:05,1,Playlist,0,Comercial
Fernando Daniel,Recomeçar,Artist Male,PT,2020,2020,,12-7-2021,01:09,1,Playlist,0,Comercial
Dido,White Flag,Artist Female,EN,2003,2000,,12-7-2021,01:12,1,Playlist,0,Comercial
Imagine Dragons,Follow You,Band,EN,2021,2020,,12-7-2021,01:16,1,Playlist,0,Comercial
James Arthur,Impossible,Artist Male,EN,2013,2010,,12-7-2021,01:19,1,Playlist,0,Comercial
Carlão,Os Tais (Ah Ya),Artist Male,PT,2015,2010,,12-7-2021,01:22,1,Playlist,0,Comercial
Doja Cat,Say So,Artist Female,EN,2019,2010,,12-7-2021,01:26,1,Playlist,0,Comercial
Álvaro de Luna,Juramento Eterno de Sal,Artist Male,PT,2020,2020,,12-7-2021,01:29,1,Playlist,0,Comercial
Ellie Goulding,Love Me Like You Do,Artist Female,EN,2015,2010,,12-7-2021,01:33,1,Playlist,0,Comercial
Ana Moura,Andorinhas,Artist Female,PT,2021,2020,,12-7-2021,01:37,1,Playlist,0,Comercial
Aerosmith,Cryin',Band,EN,1993,1990,,12-7-2021,01:41,1,Playlist,0,Comercial
Bárbara Tinoco ft. Carlão,Advogado,Colab,PT,2021,2020,,12-7-2021,01:46,1,Playlist,0,Comercial
Pink ft. Willow Sage Heart,Cover Me in Sunshine,Colab,EN,2021,2020,42677453,12-7-2021,01:49,1,Playlist,0,Comercial
Justin Wellington,Iko Iko,Artist Male,EN,2019,2010,26612049,12-7-2021,01:51,1,Playlist,0,Comercial
Anjos,Tempo,Band,PT,2021,2020,3000701,12-7-2021,01:54,1,Playlist,0,Comercial
Linkin Park,Rolling in the Deep (live),Band,EN,2011,2010,,12-7-2021,01:58,1,Playlist,0,Comercial
The Weeknd,Save Your Tears,Artist Male,EN,2020,2020,442823420,12-7-2021,02:03,2,Playlist,0,Comercial
Ed Sheeran,How Would You Feel (Paean),Artist Male,EN,2017,2010,,12-7-2021,02:06,2,Playlist,0,Comercial
Cláudia Pascoal,Quase Dança,Artist Female,PT,2020,2020,,12-7-2021,02:10,2,Playlist,0,Comercial
Brandi Carlile,The Story,Artist Female,EN,2007,2000,,12-7-2021,02:13,2,Playlist,0,Comercial
Years & Years,It's a Sin,Band,EN,2021,2020,,12-7-2021,02:17,2,Playlist,0,Comercial
Avicii,Levels,Artist Male,EN,2011,2010,,12-7-2021,02:20,2,Playlist,0,Comercial
Rony Fuego,Bem Disposto,Artist Male,PT,2020,2020,,12-7-2021,02:22,2,Playlist,0,Comercial
The Weeknd,Blinding Lights,Artist Male,EN,2020,2020,,12-7-2021,02:25,2,Playlist,0,Comercial
Rag'n'Bone Man ft. Pink,Anywhere Away from Here,Colab,EN,2021,2020,,12-7-2021,02:29,2,Playlist,0,Comercial
The Script ft. will.i.am,Hall of Fame,Band,EN,2021,2020,,12-7-2021,02:32,2,Playlist,0,Comercial
Ana Vilela,Trem bala,Artist Female,PT,2016,2010,,12-7-2021,02:36,2,Playlist,0,Comercial
Mary J. Blige ft. U2,One,Colab,EN,2006,2000,,12-7-2021,02:40,2,Playlist,0,Comercial
Edu Monteiro,Love You Better,Artist Male,PT,2021,2020,,12-7-2021,02:44,2,Playlist,0,Comercial
Coldplay,Higher Power,Band,EN,2021,2020,,12-7-2021,02:47,2,Playlist,0,Comercial
Olivia Rodrigo,Good 4 U,Artist Female,EN,2021,2020,,12-7-2021,02:51,2,Playlist,0,Comercial
Fábia Rebordão,Rumo ao Sul,Artist Female,PT,2021,2020,283867,12-7-2021,02:54,2,Playlist,0,Comercial
Imagine Dragons,On Top of the World,Band,EN,2012,2010,,12-7-2021,02:57,2,Playlist,0,Comercial
Master KG ft. Nomcebo Zikode,Jerusalema,Colab,EN,2020,2020,423351001,12-7-2021,03:02,3,Playlist,0,Comercial
Justin Bieber,Love Yourself,Artist Male,EN,2015,2010,,12-7-2021,03:05,3,Playlist,0,Comercial
Vai e Vem ft. Alicia,Cara Bonita,Colab,PT,2021,2020,,12-7-2021,03:09,3,Playlist,0,Comercial
Bryan Adams ft. Melanie C.,When You're Gone,Colab,EN,1998,1990,,12-7-2021,03:12,3,Playlist,0,Comercial
Dua Lipa ft. DaBaby,Levitating,Colab,EN,2020,2020,,12-7-2021,03:15,3,Playlist,0,Comercial
Ed Sheeran,Photograph,Artist Male,EN,2014,2010,,12-7-2021,03:19,3,Playlist,0,Comercial
Virgul,All We Need Is Love,Artist Male,PT,2017,2010,,12-7-2021,03:22,3,Playlist,0,Comercial
Lewis Capaldi,Someone You Loved,Artist Male,EN,2019,2010,397897732,12-7-2021,03:26,3,Playlist,0,Comercial
"ATB ft. Topic, A7S",Your Love (9PM),Colab,EN,2021,2020,,12-7-2021,03:30,3,Playlist,0,Comercial
Biffy Clyro,Re-arrange,Band,EN,2016,2010,,12-7-2021,03:32,3,Playlist,0,Comercial
Carolina Deslandes,Por Um Triz,Artist Female,PT,2021,2020,,12-7-2021,03:36,3,Playlist,0,Comercial
The Calling,Wherever You Will Go,Band,EN,2001,2000,,12-7-2021,03:40,3,Playlist,0,Comercial
Maninho,Pode Tentar,Artist Male,PT,2021,2020,,12-7-2021,03:43,3,Playlist,0,Comercial
"Martin Garrix ft. Bono, The Edge",We Are the People,Colab,EN,2021,2020,,12-7-2021,03:46,3,Playlist,0,Comercial
Anne-Marie ft. Niall Horan,Our Song,Colab,EN,2021,2020,,12-7-2021,03:50,3,Playlist,0,Comercial
Joana Almeirante,Bem Me Quer,Artist Female,PT,2020,2020,,12-7-2021,03:53,3,Playlist,0,Comercial
Zayn ft. Sia,Dusk till Dawn,Colab,EN,2017,2010,,12-7-2021,03:55,3,Playlist,0,Comercial
Pink ft. Willow Sage Heart,Cover Me in Sunshine,Colab,EN,2021,2020,42677453,12-7-2021,04:01,4,Playlist,0,Comercial
James Arthur,Say You Won't Let Go,Artist Male,EN,2016,2010,,12-7-2021,04:03,4,Playlist,0,Comercial
Os Quatro e Meia ft. Carlão,Bom Rapaz,Colab,PT,2020,2020,,12-7-2021,04:06,4,Playlist,0,Comercial
Oasis,Don't Look Back in Anger,Band,EN,1995,1990,,12-7-2021,04:09,4,Playlist,0,Comercial
Michele Morrone,Hard for Me,Artist Male,EN,2020,2020,,12-7-2021,04:14,4,Playlist,0,Comercial
Avicii,Hey Brother,Artist Male,EN,2013,2010,,12-7-2021,04:17,4,Playlist,0,Comercial
Bárbara Tinoco ft. Bárbara Bandeira,Cidade,Colab,PT,2021,2020,,12-7-2021,04:20,4,Playlist,0,Comercial
Shawn Mendes,In My Blood,Artist Male,EN,2018,2010,,12-7-2021,04:23,4,Playlist,0,Comercial
"Justin Bieber ft. Daniel Caesar, Giveon",Peaches,Colab,EN,2021,2020,,12-7-2021,04:26,4,Playlist,0,Comercial
Imagine Dragons,Radioactive,Band,EN,2012,2010,,12-7-2021,04:29,4,Playlist,0,Comercial
Nuno Ribeiro,Longe,Artist Male,PT,2019,2010,,12-7-2021,04:33,4,Playlist,0,Comercial
Puff Daddy,I'll Be Missing You,Artist Male,EN,1997,1990,44930072,12-7-2021,04:37,4,Playlist,0,Comercial
The Black Mamba,Crazy Nando,Band,PT,2021,2020,,12-7-2021,04:41,4,Playlist,0,Comercial
Silk Sonic,Leave the Door Open,Band,EN,2021,2020,334722364,12-7-2021,04:46,4,Playlist,0,Comercial
Tom Grennan,Little Bit of Love,Artist Male,EN,2021,2020,15672000,12-7-2021,04:49,4,Playlist,0,Comercial
Jüra,Somozumnãodois,Artist Female,PT,2021,2020,,12-7-2021,04:53,4,Playlist,0,Comercial
30 Seconds to Mars,Closer to the Edge,Band,EN,2009,2000,,12-7-2021,04:57,4,Playlist,0,Comercial
Zoe Wees,Control,Artist Female,EN,2021,2020,,12-7-2021,05:02,5,Playlist,0,Comercial
Ed Sheeran,Don't,Artist Male,EN,2014,2010,,12-7-2021,05:06,5,Playlist,0,Comercial
Giulia Be ft. Luan Santana,Inesquecível,Colab,PT,2020,2020,41438425,12-7-2021,05:10,5,Playlist,0,Comercial
